koi_period,koi_depth,koi_duration,koi_ror,koi_teq,koi_insol,label
4.90144976,140.7,4.1654,0.011136,1262.0,598.74,1
9.75192101,418.0,4.793,0.024042,870.0,135.66,1
38.5576546,993.0,5.794,0.03498,550.0,21.71,1
3.525632539,22335.0,2.59959,0.13372,975.0,213.12,1
7.748094239,2472.1,3.5957,0.046615,964.0,204.39,1
23.96793669,1182.3,3.827,0.03141,329.0,2.77,1
8.29561738,824.3,1.3421,0.03178,469.0,11.39,1
8.11437482,1558.0,2.2736,0.037204,460.0,10.55,1
38.036729482,82872.0,4.34617,0.27018,500.0,14.81,0
3.747838198,616.0,5.0642,0.151387,1031.0,266.76,0
14.74914825,430.2,6.0995,0.018864,874.0,137.91,1
21.81295996,1175.4,4.3791,0.030952,639.0,39.33,1
7.91936937,15148.0,3.3148,0.121984,814.0,104.0,0
15.37562369,15337.0,3.3169,0.12103,600.0,30.54,1
8.10363271,887.9,3.161,0.026361,687.0,52.82,1
4.71510843,417.5,2.506,0.018268,823.0,108.84,1
6.365839713,780.7,2.9721,0.026275,914.0,165.33,1
5.97581754,962.4,3.065,0.035468,1047.0,284.25,0
2.446737317,1177.9,4.7211,0.278526,1261.0,597.19,0
3.04033046,10859.0,1.8411,0.104023,1021.0,257.29,1
15.33528675,3081.4,3.897,0.056,610.0,32.67,1
7.95825328,50.0,4.377,0.006915,1074.0,314.15,1
31.33046135,5073.8,5.176,0.072904,481.0,12.61,1
3.9043425,16228.0,3.831,0.125229,1104.0,351.05,0
9.286358079,44791.0,3.49949,0.19639,796.0,95.03,0
3.951405455,2453.9,2.1862,0.331342,1133.0,388.71,0
23.65369415,3341.8,8.2183,0.05219,731.0,67.65,1
13.23352214,504.6,6.7372,0.020278,888.0,146.67,1
6.15560285,285.0,4.9843,0.015336,1146.0,406.94,1
2.090811305,115.9,3.388,0.010686,1642.0,1718.04,1
3.180027898,120.3,3.5797,0.009989,1458.0,1066.86,1
50.4467417,370.3,7.159,0.01767,568.0,24.64,1
11.76307164,1037.3,2.9076,0.028519,616.0,33.99,1
56.2279271,862.7,3.57,0.028683,366.0,4.22,1
2.384052875,1268.1,3.0918,0.222925,1010.0,244.87,0
7.953547,875.4,2.6312,0.026448,696.0,55.37,1
4.14451656,391.8,2.3421,0.017441,864.0,132.08,1
